HolderAddress,amount
0x8450cf769ccf7fd060936ba2b023ca8f9903f9c4,250637
0x78c1b5fe0d23a449f6808c013758c8d141288818,250637
0xfdd414e9cfcea4b036e2d24fcec04d50b698fcdb,250637
0x7fee302a14d6b945c0eb6da9c4426c8d75d38a73,250637
0x9a3e173ee2592b9d13ecfe722157420a52d8ca3f,250637
0x47110ef346dfa4da0f0ef6ece047632e2d7c771b,250637
0x81eaca3eb49d3aff173efd1a8eaeff5e1dea00d6,250637
0x21fc6ad1266d9e3306da22190fd618188b4f9dc0,250637
0x0378e42314b4024868a924921bdb8b3f2dff7b91,250637
0x16829bc28d454a41466bb420a3a83340b5515313,250637
0xcb43078c32423f5348cab5885911c3b5fae217f9,250637
0x54fa08d0a3f8af5335ea504bf7ccbc2bdaa81d61,250637
0xd38a824c75b5af696ddef83f25e1a93d084ed9ab,250637
0x76f22f9c9f8a86c346cf2f16668330014562973f,250637
0x142fe189f8560f77ad40ab249401c7e2aac1b9ca,250637
0xcb0212a096eb6db73521b84c04a0d2ffb5ed2309,250637
0x330e75e1f48b1ee968197cc870511665a4a5a832,250637
0xd0a2274daa592f97cafcb347df30b29ac0b1852b,250637
0x4ee20830517415783cd56076c26ed5bb2a16fbab,250637
0xfded90a3b1348425577688866f798f94d77a0d02,250637
0x730585722f3daa2f9d3b9dbcf97403d405076fd0,250637
0xf66d732abacd182e52cd0685758037d0e2b0e617,250637
0x000000000000000000000000000000000000dead,250637
0x820c58129c89b83b1da4555b7cac37d76146d5f3,250637
0x2c50d42deffa8a0c45a72ff7a7449ef168f3d4ec,250637
0x2e21335f3f6e39b366b54ebdc860e2497971ff04,250637
0x2e61de7c2c39e44336f301cae2993adb6bdac708,250637
0xeb1ee5d57d52a97f009a2b765cf2e32ef937e759,250637
0x800af106e83b49ae1168d44ce51e9d3f98a3347a,250637
0x0af481a0ab5362eb5ec50d5ed2440da2e2a65118,250637
0xca7263c9b33045619e1e94ffa6c7635a10f60182,250637
0xa10753468d7eaf706a91a7ae5c021aaea2aad7d8,250637
0x60a42d45a82c33d43ce13e76b1d49ce4fafbc319,250637
0x40962b448aa899196906646340cb4eb61a8d49b4,250637
0x646ef8e3c8e79a10daf8f32621a3e468501cc3e4,250637
0xb48326f809d8f41378e2810ab3e88800916d26f5,250637
0x961f6af1729f276c9a053016a2da2706a19b7c42,250637
0xb9b3c97297f79af3b56785a8b7bc4ddec4b3ff0c,250637
0x269c2d0badff4e365ac2a0da8c8e3f186b6adaba,250637
0x064980edd7d43abee781f49a4e31c06df05ecccb,250637
0x87662d46816ba6f376f99b47b7bf0dc8d729ee8f,250637
0x99522c0f67d45c69e2ecd58be9671cd3675f3761,250637
0x7ff17fa91fb9272c8a293d9668dea218844bf316,250637
0xd17ba9686c53a663996e68f5f77054172ea95940,250637
0xe78fcf03534d33dcdeedb8bd08e8bd00dc12b7f0,250637
0x499ad5d05a91ce668cca7b06289a0f43200c23d9,250637
0xd411ceb6704b05e445a7fe868d1192fde973fc0f,250637
0xed590b8c0964177bee6d871fcf88ace53eab34fe,250637
0x2a4ae71a5c9e3f0bf538aba373844d2635de7369,250637
0xbc038a5fe243f16c4167bd2398882df988d81780,250637
0x3e3567eb03521aed1047951620cdef6353f763bf,250637
0x9054bcff5e34326f8ad48ea1b8821734ab345acf,250637
0x586af409aa91f27b32ea0e5765982b98e5ad0dc6,250637
0x9e17baefdce61c723fa00150a98b13751c6e2a13,250637
0x68f9026e27528db9ea22ba3edf4794dbb913a5e1,250637
0x44a72f8f4690fa07e668f18b67bbb1aea4740bc0,250637
0xd147df30f7f96090a4f7247393e5a7cde0ba7900,250637
0xa33d7c59c7c665e9bb97b480feb0e1d612281ee2,250637
0x8514f622328c0c56107232950a8a2c45c944a917,250637
0x80dc680af6384da2c546bdb1c096056962f333bd,250637
0xb9b1d4251416066aff6c06e4ab7a8ee4d2312e29,250637
0x87f3397cdb93802245497e7de21f39ada64000c7,250637
0xcae038515423d9ae9387fcf614172c00f9764c59,250637
0x3f1e2953ec44a6d73ab54e5c6a07b099e7dac7d2,250637
0xf6aaab8289486563ae8620a78fc0abd75d85a427,250637
