HolderAddress,amount
0x1b381b31b932947d1a2a9c9153fd3f8d6af67dd4,250637
0x77962ce1f2b7fa63a4699db8ce676f350c9a34dc,250637
0xfecbbfec931a06c0cf7b008cf3c013457f610a22,250637
0x72cf8c26bd2955b379eee6b0adc016671c2778c7,250637
0x3d09c4cd9fca7d2ee93af5e54c482e0cc12cf0bb,250637
0x97f48297ba09a64b50fad2eca69ded780780f0a0,250637
0x22ae000e157b116e450635e24bdb18c37645e355,250637
0x20e3438bb64854c745405b166e96ebda80800723,250637
0x6105c1ad5fa00106e78d53e6d0b7f5f01379c33b,250637
0xbaa96b95c1a5616bdeb874a8d1e85a3c56331dee,250637
0xd5e379cd4459be4644f1cf80a1c5a818a95e8aaf,250637
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,250637
0x36d1da3f65d394f0fb6714af0ded1326fdf11b06,250637
0x84fbac9c92580ee92897fabcecea5fd4f837e5ec,250637
0xa3cc8acf60ea0f0000e371e8f9c0502754994972,250637
0xcfe07703e150737d8dbe9265205fb05fd12ffde2,250637
0x62e7ba1b09022fbdf3b7d124659336a5a13f13fa,250637
0x7e8d7786f2e6c8a8c96a2d8adcc21200baf77e8c,250637
0x4b6bd58332e2698873d82242b4304fcb3f2afe04,250637
0x7adf4182de035956ed60c485331155b007df0177,250637
0xd277fc9a5dc6ec353f0ee7e0195f0559107ce2dc,250637
0x5ff86fbb5792dfe42aa22cd1a333f0fbe2e0f998,250637
0x1e3a1348881f6d0a5e1cdc6bf19b88d98399b15a,250637
0xb081aef14603a6c4d8cef470ffca0d9fef659e04,250637
0xcbc7d0ff51d37b60ba741bf566496bba53b5eea2,250637
0x206b0526f4866e7580780015cbacbb4a8dbb8c80,250637
0x632719311e8d305cc057217e2f3e92c95357d69a,250637
0xaf1bff74708098db603e48aaebec1bbae03dcf11,250637
0x2d38342fa9e183cb5330056d6c3728f93e5e80b0,250637
0x84349f3e795055bb257df26bf4661835ffcf519a,250637
0x6afdb7641182be8adcac0a9bf51a8348b5f8c47b,250637
0x1f170112a090056433bd0a2fe4efb4184d9db266,250637
0x37e6072596a35b623e949690de49430706add855,250637
0x5932cceebe6727a5bb1031f45d7bcd21f24500b3,250637
0x096ee12d7767c1fdce18d84a25dd7b981fb558ac,250637
0x081c432485b0f29b2afaf0648f5db50f2d5fb81b,250637
0x81b35fecb97c2fd5330fb4dada1ff65cd2d78d22,250637
0xd9bc43bd5017d484a1461bfd97826f609ec2eac0,250637
0x040bab597c4eb1d1ba12a3ec0826985879e7a94d,250637
0xafca747b067c40ae0dda3f170ae971a2cbf4d05c,250637
0xe7c510b2027d9ce7d433ca2b90ad344ca3d7f4b1,250637
0xd1fd469842607d784da436ed110d383f4727e462,250637
0x1eadc108492475e17e87c5821977ab885e51f7cb,250637
0xe83105d4e5b144e388d7d35c65c44e0da8c8016f,250637
0x33fc2be5563e3c02a3e127f01bbd71db472aa613,250637
0xbfc677e1eab8239b32ec47dcb0f3b5bf8ffb2993,250637
0x17accf90ba294df3bc2f12818d18a48c756a90d5,250637
0x86523492116d3d8061101cf720ae033977bfc5ae,250637
0xe5e55b76a7a7d7235f92648f1aea00fbba7be931,250637
0xbef6081607147704c7f11af346d919a5df038114,250637
0xe9c92b3f60c9e3ce0f4b0bbcdf0282efb1c41070,250637
0x6e6996997ba6da60dd3320b010c122577cd5fe28,250637
0x459c65a39570498dbf3652862b5ec2c59afb8b7d,250637
0x2c5f5410a3a512c948b480ef2e5f0e55b4b91374,250637
0x538f557d07420f4ee84929e4329e6363d703c8fb,250637
0xa181848b5fcc0ec05436a98a440efea69793ad14,250637
0xe829ce4601cdac09b71e3695674fd03c4b9f6000,250637
0xd14f196b836c5feadcd73171a77038e4abb9d369,250637
0x72c3c8b0cacdf6e36b39c9462a42756b2a294ccb,250637
0x738e65497e28d8177403e619a086a094d5642e13,250637
0x5610b146978c4864d603a855fdea54e6a2c1c803,250637
0x50942e40acdfeae90cc9b2f74e0b10d25db5d361,250637
0x0055cd5f017027d10adf4f13332181e6d8d886bb,250637
0x275818ba9a1870ef5e9fd6c6c91f348a766be597,250637
0xc495b1657106e2faddd968446af5c6ecf8869be3,250637
0x94ef75038e8f8f940af7e73f999ca507d1e62374,250637
0x4240781a9ebdb2eb14a183466e8820978b7da4e2,250637
0xa5c3a513645a9a00cb561fed40438e9dfe0d6a69,250637
0xb54884117d64e32a7079e705d484b1d953abf0fb,250637
0x978f664433abf02b7460f5ed138f8eb46dac2547,250637
0x7023e593443581e8776d317fc8ceccd10164d803,250637
0xd11a1be0dec923167e29b146f16ae05094fd430c,250637
0x681aefa75c0f3b26bf052b2869ce3bb12d7930d2,250637
0xd4613debf28a4fbc2df97bbada6635db23180fc0,250637
0x186bad94057591918c3265c4ddb12874324be8ac,250637
0xe05149b1f3fc90b1832106233616abf1eed1a127,250637
0xb6f6dce6000ca88cc936b450cedb16a5c15f157f,250637
0xd92f28d7889ae4e8ddb40fff620e2a1050ccbe98,250637
0x5fc1063dd07eccc4590a7c1db56fb6d0083e4549,250637
0xde0cbd5df89bb67ab804db21e9b931bad4200392,250637
