HolderAddress,amount
0xb59919f8b5816c7bc66153e6559f04ad7a0c24ea,250637
0xe89d01615a43bc8b58d2bc4a7744c3393602ad56,250637
0x32fe887487e27537801bf58a5f5c0e1b4ed518b4,250637
0xc0e3902ab00dfbfcfec65e64e2a00c891448b945,250637
0xf9f02e4370e4838d5faf2c781174e6853ad4ac9f,250637
0x1f53c0bee870c2e8b28fefd1353edbe6b158a845,250637
0x3179ce6681f2609635a184841446d67b1742db4b,250637
0xb24ffb9ed7b1af0b354c034d6ec1c9165ae52370,250637
0x65a79f485b70007006d06a3ab21519b296ad65c9,250637
0xddd24327b1956ea55dff2751ee5893d45673b00c,250637
0x498b7b7ddb5e057e5d055c4e59f839dbd6e26ff4,250637
0x0b0fbff35ea0f1cd416bce63577651a39c4542a3,250637
0x2e91e67852584537a3055a2ccea1d8495c20a729,250637
0xea2ee827bc6470e202950156c509cc1623b6da47,250637
0x66420349c407c3b69e75b2352a00b7b351218099,250637
0x33bf10b2b4a57bc20d955c00b2f735897124785c,250637
0x81b98a0e207726584ce1ac687fcae6059b35ebcf,250637
0x263ea0a3cf3845fc52a30c6e81dbd985b7290fbf,250637
0xc78d156d3664a6eafe067b2c69f9774ffe1588f6,250637
0x212a057d6d59720c218657868218ff14f2ceed5d,250637
0xf08c831be98b0e4482bc9411b435664ea3f84ce0,250637
0x88e23c83417cf07e9dcdf13ce0a19b4650cf7b0e,250637
0xd5c2db008b969c4ef65ef1b625d0f7d8cc480240,250637
0x5d1f069e93c84009d9423bfee5dcbeafe7379051,250637
0x49849b2d00b984c14f5e0a5324e17339130c932c,250637
0xf205e19dbe740db9d6c721873b994338e47e08b8,250637
0xf4c172b6f3bba0f78d95a85ff990d662b8ba00f7,250637
0xca3452b0b80a045fbd109a6b3d790e4c25c5cefb,250637
0x16b75c896244a65a698d40b5813ed30fa450776d,250637
0x8d463bbd83bcba4a9ed7b73156736726ded8b668,250637
0x085f4113cf863eaec7aeb1f7e89707adf34ce3ff,250637
0x2e266194a00c1001ab891b9e185a63b3ff314e73,250637
0x24c745a1444d135fa4af50236e45e20fa98c0223,250637
0x69c9939281ac8ed599ea8008b7a0081f4b28b5a4,250637
0xf1095aadd292d86f87a8ced6a9c33937805680b5,250637
0xb75d83263acb2e6d42dde1d59cb3623cc2fa3de0,250637
0x5eeec4656d5883eec2f34715a5b2ee1d008dfbb8,250637
0x7777d50bf0e24c68014fadf9e6781cf48a2ee9db,250637
0x4c859493918a18ff8a001d1da524965c23296b69,250637
0x581ef0b9ff9a5e43d00d2cc9e59cfeee093d0e07,250637
0x8e1646a9a974da99b3b57c7035f4246cced5568c,250637
0x08c1b6540d16979fa9ef79f0be6b73b6fd0e03c4,250637
0x96b184372cda0093299dc7561213722f9cc96869,250637
0x60a1d2ec4d939018b02a80a24d104c90b79c2fe3,250637
0x96245e3bca44106e4b005dba0470e7a89315dc8f,250637
0x1ea8b83acbdead9fed9060e0d810eedd674c6b9f,250637
0x3627d6cf6fa9ea08fc6b6493377dc37b2cf5ab36,250637
0x704c8c855765b4c053cc2dc02b3f318caf2ab732,250637
0xed590b8c0964177bee6d871fcf88ace53eab34fe,250637
0xe9825fd47c5d863b1aecba3707abcc7c8b49b88d,250637
0xc73b86953e75552897a592637a4ea46a740027e8,250637
0x14bd5b87781039d5d81add3373abd17d53f483a0,250637
0xc1491119314d67455f50ab9799d7bec54ea681da,250637
0x3aa131474d206424908fe767fc15b201327ed014,250637
0x0b44fbb992b7516b7cce5ebe2f042630aacb3a1e,250637
0x854f09dbd7c9fd93b52a1947b3dd4b41582ffadc,250637
0x401cc1b6620e30ade449bb8f593a0d0799fbac93,250637
0x53ea003958665b3f9e4d5bda0a02f1d8ccddf092,250637
0x391f1373a40a292e5afe07f727e5bb01007c35ac,250637
0x14841e8e86abe1441518a17a3121e48ad725a4a0,250637
0x9bd06337e6642dbfe50be210019a98d6fab63363,250637
0x20b511bfcf9461169e00420cfa23ef231de52a78,250637
0xc17d2a3c98514eae0ce1b19cdb7187568d570e63,250637
0x5fc6f9c06af73042df03466c0e255ad7376a79f4,250637
0xe8e752574102ba4a19ca287a44a516f42d9f2d05,250637
0x5ca7bb319e94a18fb30695d4928dfca33967cae6,250637
0x5d619f8c6470db85963b3007620423127f956183,250637
0x6e2f9f4e09288b7c87c48df9f72d51beee1f8e00,250637
0x0e3cc9b7f6795be8b2460a1226d6130d6d1a9ff7,250637
0xcfa557ef7093d9cffb52bb046af8fb9c80212cdf,250637
0x8946d9249561e9a4523eab11afffa8f4f1464b73,250637
0x270c2dfde30957dbdf12f702ced8fae2557dc7bc,250637
0x97be2fe230306ed2e5aa2c04ac46fc098799b0b1,250637
0x3be860f19b06e6f25f84b9595917dfb822fd6e47,250637
0x9e5d0dcf8a08b19064b4171bdf8cd66a6e8ca7bb,250637
0xc9f2a5115b727849e067da85a0ff422732a358a7,250637
0x4ca7616ad965b3a5b5d5b45dc197bd4b9b67b9b4,250637
0x50cb6a96527940d726411fcf23de4a041e0d2bc8,250637
0x19dbf5ad9548420019be063f10c26ed930b1e000,250637
0x7bdf81fd1d9197b22bc2027b7878254fe47c750c,250637
0x4aaebfb6b0115d74abb15e1804d6bb628823cefc,250637
0x60485b99568df4a35664533b14be4d2afc16f03e,250637
0x30d9cc31a185c034f60b78adba5fa5555a6549e8,250637
0x3bad860aeed7a6e87c7066b0a12db7b610ce47f1,250637
0xe9763f6bdbfea8afd84f353b6563c79f8ee2352d,250637
0x74a2682aab14963622425e313b9acb393aef4799,250637
0x36cf19b22c5d3c6345319e03c3ea56ceab9181a2,250637
0x4d0011b32ef0f2505f85b5416608631bf0432e3e,250637
0x7c3cc96c9a665b4acdafd28ee08becda94ac7c2b,250637
0x752afe7d27c5e002e5c36a7bae51702439248fb8,250637
0x6d87084c37013e256920a2ae0b479c1f97d18b95,250637
0x420e0cfbd90444ae9e2e00817c5e3f50916e4f0c,250637
0xa3df31e3ad2b2cfc31b7c1af8863e92c9659ccc9,250637
0x628b0a215680a13686f178198a272fb946b41508,250637
0x590ac73c3f980799f2aeafeb56ae2b82362bbfea,250637
