address,amount
0x820d53c86dbe7fa68e0e416ea27667fc3f4e0cea,"1,262,626"
0x4675d01fa3b1f483f04c364b6f9e2c2696ec6c6f,"1,262,626"
0xc420a1f5c5acb57ccdada2bb66db038395fc3a5e,"1,262,626"
0xd4c04d33f2e58cb04397021f0d65fe2b615eddca,"1,262,626"
0x87edc5758b40b5b06aeb22ba72357c9103e9ad24,"1,262,626"
0x7989217fcbe160f8757b946e61b4495fc734bbd1,"1,262,626"
0x55cafc85c68cc2f558fa4da995173ed6cebe213d,"1,262,626"
0x18edf91933ac7d1b22b9895062b4529cc259ddf7,"1,262,626"
0xbf805db5f6870fa4a3cd06fdbaec27f5fc2c5689,"1,262,626"
0x4d2226ea006701a2ab58ea905309c848bcbd441d,"1,262,626"
0x184226fde743a346c5254d5b0687e6eabf7c1d96,"1,262,626"
0x93979c96005a2e1391284f01f21f27b4849d24be,"1,262,626"
0x1e5329e5a9cf260c2c0901e6214dce305293f49b,"1,262,626"
0xe604be5113afa84b6bd5beb09522666a591ebe5b,"1,262,626"
0x7c664a9fe75294394588cc5a150f3d8a906077b4,"1,262,626"
0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac,"1,262,626"
0xe4516477adacc6682cf18069475f676a5b5667f9,"1,262,626"
0xbd83ed0980556c2781eb6b70855c52c71ab216ac,"1,262,626"
0x044af1cc184ab89d3cb2be2ba67d20f658d8fd40,"1,262,626"
0xe461fd1ace10bd5e2dd419cc3f875a91bf761bbb,"1,262,626"
0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,"1,262,626"
0x82f17f7b5e4b2d4321bffb0e4e99eb0b9ac11f31,"1,262,626"
0x1591c783efb2bf91b348b6b31f2b04de1442836c,"1,262,626"
0x431f135e8a5940cbaf5cbc4a0b6d02cac935f69c,"1,262,626"
0xddbac19f8347dd5a6c72087132fb67933eb1fdbe,"1,262,626"
0xef37174f611a8c43b2d22be9ee4e3396d0d264a6,"1,262,626"
0x5c6e5bd48b233a8ecc60ba290a94a69dd8288655,"1,262,626"
0x46d5705e5b2b58e17e1a4a48c87b9160474efaf4,"1,262,626"
0x924484c3c85634395bb398531e43a0ddcd07071e,"1,262,626"
0xef27939175160f5a974adaef1acab14f7afe1351,"1,262,626"
0xb64ffe13038399356f1c64452b22bba07e1b6a9e,"1,262,626"
0x780451d8364627f93f671b25efb938f10985ac13,"1,262,626"
0x8fc3986896a3115e2556fa850c87910cea7f5231,"1,262,626"
0xc8fb0986ffab749f9a79a245203717a6fe0ba0bf,"1,262,626"
0x3dd7c17f3db9ab3e77a69f8319559d8c9d5d7122,"1,262,626"
0x327f9af9e3faec7097135358261eba4966d6c0f2,"1,262,626"
0x0c5d27f231cdcf7b18859f84caeb073954bb66fd,"1,262,626"
0xa3581b3c54c8c181a7f35aa1bc7d2db3560039e9,"1,262,626"
0xe7069ff8590b0d7b0da4afa2ddc0ff93968edcef,"1,262,626"
