HolderAddress,amount
0x4fe21782cb878e4683a65819aa52be51bc239493,250637
0xb940ab71c254883662745be38d0937130a014314,250637
0xb0d5f85623393b6f4a20855ba1bf3f01e48b860e,250637
0x0fc9b924ff6efeecab9efdd1864683216b0672ab,250637
0x2f14fc787e1fe8aed35ceb494f9c742919745fd2,250637
0x4fefdd02a5c5964fac096146e1777ebd15e7784d,250637
0x4a7671d14076d418300c433518816f6b0c1f705a,250637
0xf6ab07e348ee477772d170a776b93c9d509754e4,250637
0x694c2bfc07e40762895d40dcc36e6529d78bf3d3,250637
0x20ef981ae85a1a5312789746f3f0b4b7ddf1f3aa,250637
0xf90d3d6c3f5aeac7641d828705fc1cc3f1c12d45,250637
0x9f46ef76c508a55931b5f7608c27d80cfe3c7f80,250637
0x0616d4f23c4cb5280b39f6ea9d0a5ac22985098b,250637
0x1ef4bc44383ee37bb48294560be0c87709a9f493,250637
0xa490bcd59f78b62c47f61592679afc9f24695526,250637
0xd3ffc1baf3b41d2786a3df925dd66b1e391fe0d9,250637
0xf35037e368f6ef6c751ad61a8345330d58499548,250637
0x4c6889bc75ef490d5facd4787a2ebac054f041e4,250637
0xe13c8eb79c6e7875b1ad7a42b6fc4f848eb23473,250637
0x79c6703687c6f7be60eb9c46076c1a3f229cbfa1,250637
0x73c91af57c657dfd05a31daca7bff1aeb5754629,250637
0x4f9c4e909319cf7a785b4d7472ef06441c897340,250637
0x6650cd77f21a1ac6c0428c9f33c5c174145bdd2a,250637
0x72a5586341c35dd482b8fed2fd5ed90514e1b2ae,250637
0xade4a9271520bab192fcd057aae27d6753194246,250637
0xfc7d070104c190de1c83ebd007e789a13b3f1974,250637
0x04da14cdd8c375d9b271a0239b0e34d3cc37aa0c,250637
0x6788757c68a2c4913ca3e706baf932b151836330,250637
0x2ba5070aaa329ac4c4c1fdc64447ffa51afbca56,250637
0xf1fb9dc555dfda2ed1b7c679f69d58c1624b073c,250637
0xe3f705fb032e3744e9d50f20378441ae05087b7d,250637
0xcb80615817ffe23eb16b10608c5e3154d9a37120,250637
0x7eaf5714f0b65cee90c402b8b359e75cf7a2b5dc,250637
0xd235b40933c6ad4a04e2067dcaabf193b8b741f2,250637
0xdf130481765539f63483e4091c1467a914301e45,250637
0x221268f32daa6b36cac59343220f26da444e26f7,250637
0x5504fa1da78c5cfab1b37a3bc67342fec038176a,250637
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,250637
0x4a99f8cfd109edd78bd881b2cbe0d75c4636ff2b,250637
0x68aa0088cef3ffa5339038e381532b7e516f3c78,250637
0x98e4125d6755ea2ab5db70c3905f2dba925c51e0,250637
0x790f4ec6e45124eb35d150d6c4f1c765e9d3403a,250637
0x9c848154eba035458afd7b91c9bd4b2873f544b7,250637
0x436ce0e718e69eac19da8203b002ee2f0e771f24,250637
0x501368ab6233a40eb06c130092a7ca5a2d74c0b5,250637
0x098ce140dd8374c84fa56b5109f523911eddcf89,250637
0xa5dd90f9b14b8c2cbca59a23651574c1cb487c1b,250637
0x78765c382307a80f3211f83dada664fa32713a44,250637
0x9906bf1e5febd4d28c5a5aa648b215778c27349d,250637
0x2f28d3cf46d2edcc5a31b8466f298f39cc3ad6ff,250637
0x30ac403958e2a56a700b8d32aa59664a2e12c287,250637
0xc63334198201c34f733ac4de415ddf36730f4b19,250637
